NS,NR,NO,CJ,NJ,DATE,HOUR,P1_AT_1,P1_TE_1,P2_P1_A1,P2_P1_A2,P2_P1_A3,P2_P1_A4,P2_P1_A5,P2_P1_A6,P2_P1_A7,P2_P1_A8,P2_P2_A1,P2_P2_A2,P2_P2_A3,P2_P2_A4,P2_P2_A5,P2_P2_A6,P2_P2_A7,P2_P2_A8,P2_P1_TE_1,P2_P2_TE_1,TERMINAL,TERMNAME
1,1,1,97,8173,16/08/2023,15:03,4,Continente,7,7,7,7,3,7,7,5,7,7,7,7,3,7,7,5,"Intensidade do sabor ideal, boa apresentação.","Delicioso, recheio doce quanto baste.",1,
1,1,2,50,8169,16/08/2023,15:05,4,Continente,7,7,7,7,3,7,7,4,7,7,7,7,3,7,7,5,Gostei da tetxtura e da cor. Tem pouco sabor a limão e pouco doce,"Gostei de todos os descritoresa., apesar de ligeiramente qyueimada. Sabor delicado a limão e trextura firme mas húmida que eu valorizo.",2,
1,1,3,429,8195,16/08/2023,15:03,4,pastelaria o bago,7,7,6,7,3,8,7,4,8,8,8,8,3,7,8,5,textura suave e ótimo aspeto mas poderia cheirar mais a ovos,"ótimo aspeto, aroma a ovos e sabor",3,
1,1,4,110,8175,16/08/2023,15:04,4,Pastelarias,7,7,7,5,2,7,5,3,7,8,8,7,3,6,6,4,Tem muito pouco sabor,"A tijelada é boa, tem bom sabor mas a parte de cima está um pouco seca",4,
1,1,5,38,8166,16/08/2023,15:04,2,da pastelaria de abrantes,6,6,6,6,2,5,5,3,6,6,6,6,3,5,6,3,pouco doce pouco agradavel,agradavel mas muito artificial,5,
1,1,6,349,8192,16/08/2023,15:06,4,Lidl,7,7,7,7,3,8,8,5,7,7,7,8,3,8,8,5,Muito bom e saboroso,Muito bom e saboroso. Muito agradavél em boca,6,
1,1,7,128,8178,16/08/2023,15:09,2,Aldi,7,7,7,7,2,7,7,5,7,7,7,7,2,7,7,4,"Podia ter ainda mais sabor a limão e ser bum pouco mais doce, adoro a textura e o aspeto",Falta um ligeiro travo a limão e um pouco mais de açucar,7,
1,1,8,342,8191,16/08/2023,15:12,4,pastelaria bijou,6,6,6,6,4,6,6,3,6,6,7,7,3,7,7,5,doce demais,mutio boa textura e sabor muito magradavel.,9,
1,1,9,359,8196,16/08/2023,15:10,4,venda nas pastelarias,8,8,7,7,3,7,7,4,7,7,7,7,3,7,7,5,"textura uniforme,apresentação muito boa mas não tão saborosa como a anterior",muito saborosa com um ligeiro sabor de limão,10,
1,1,10,232,8188,16/08/2023,15:36,3,pingo doce,7,7,7,7,2,7,7,4,8,8,8,8,2,8,7,5,para mim podia ter mais doce,falta doce e canela,11,
1,1,11,123,8176,16/08/2023,15:32,3,continente,7,7,8,7,3,7,7,5,6,7,6,7,3,6,6,4,muito boa e nada exagerada no doce,muito saborosa so um pouco torrada demais,1,
1,1,12,426,8194,16/08/2023,15:36,3,continente,8,8,8,8,3,8,8,5,7,7,6,6,2,6,6,3,"gostwei bastante deste produto, muito bom.","gostei, só a patrte do doce é que pra mim faltou.",2,
1,1,13,197,8184,16/08/2023,15:34,2,mercadona,7,7,7,7,3,7,7,5,5,5,7,7,3,7,7,3,mt mt boa desde o aspeto a quantidade de doce e o sabor. recomendo,sem excesso de doce e mt saborosa mas totalmete queimada por cima e o aspeto nao é o melhor,3,
1,1,14,51,8170,16/08/2023,15:34,4,pingo doce,6,6,7,7,3,7,7,5,7,7,7,7,3,8,7,5,aspeto e cor agradavel gosto um pouco mais quimeda sabor e cheiro my;to bom qtd de do;ce e textura é como gosto,gosto muito do aspeto e da cor cheira muito bem saborosa qtd de doce e textura é como gosto.,4,
1,1,15,125,8177,16/08/2023,15:35,3,Pastelaria local,7,5,6,7,3,6,6,4,6,6,6,6,3,5,6,3,Agradável de comer e bom residual,Agradál sabor ao comer mas mal cozido o que o torna enjuatico,5,
1,1,16,152,8181,16/08/2023,15:36,4,pastelaria,7,6,6,6,3,6,6,3,7,6,6,7,3,7,7,4,sabor agradavel do limao,"bom conteudo dos engredientes, saborosa",6,
1,1,17,23,8165,16/08/2023,15:37,4,cafetaria,6,6,8,7,4,7,7,4,6,5,6,6,3,6,6,3,"a melhorar: aspecto menos pálido, um pouquinho mais queimado. sabor e textura mt satisfatórios. ligeiramente doce demais","centro demasiado escuro / queimado. textura e sabor cumprem, mas pouco interessantes no geral",7,
